"ID del post","ID dell'account","Nome utente dell'account","Nome account",Descrizione,"Durata (s)","Orario di pubblicazione",Permalink,"Tipo di post","Commento sui dati",Data,Visualizzazioni,Copertura,"Mi piace",Condivisioni,"Visite al profilo",Risposte,Navigazione,"Clic sul link",Follower,"Tocchi sugli adesivi"
18095951473781857,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,9,"02/21/2026 13:56",https://www.instagram.com/stories/jemp_polimi/3837712413369742695,"Storia di Instagram",,Totale,698,544,5,0,2,0,553,,,
18094355545965858,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,0,"02/18/2026 05:08",https://www.instagram.com/stories/jemp_polimi/3835272221308379534,"Storia di Instagram",,Totale,394,302,2,0,1,0,341,,,
17948202824962027,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,0,"02/17/2026 05:25",https://www.instagram.com/stories/jemp_polimi/3834556042264600926,"Storia di Instagram",,Totale,439,331,2,0,3,0,364,,,
18091122452108195,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,0,"02/16/2026 05:00",https://www.instagram.com/stories/jemp_polimi/3833818836419926810,"Storia di Instagram",,Totale,539,373,4,0,6,0,430,,,
17982432062927137,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Conclusione della giornata con un bell’aperitivo di networking 🍹🍹",7,"12/13/2025 10:33",https://www.instagram.com/stories/jemp_polimi/3786875716205938350,"Storia di Instagram",,Totale,638,460,4,4,2,0,475,,,
18114741721605538,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Panel talk con l’intervento di 
@mirasearch.ai 
@apeira.it 
@home2car (@john.falluja )",7,"12/13/2025 10:22",https://www.instagram.com/stories/jemp_polimi/3786870374189391483,"Storia di Instagram",,Totale,1486,996,4,2,1,1,531,,,56
17992076468901646,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","E ora business lunch sul terrazzo!",11,"12/13/2025 05:07",https://www.instagram.com/stories/jemp_polimi/3786711923417023804,"Storia di Instagram",,Totale,766,465,2,1,,0,621,,,
18185346991347637,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Poi un workshop su leadership e soft skills",9,"12/13/2025 04:33",https://www.instagram.com/stories/jemp_polimi/3786694695724413389,"Storia di Instagram",,Totale,756,448,3,2,,0,638,,,
18332871850212547,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Iniziamo con la cerimonia di apertura",13,"12/13/2025 04:27",https://www.instagram.com/stories/jemp_polimi/3786691689272450979,"Storia di Instagram",,Totale,1432,870,6,1,,1,600,,,
18089899027787368,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Si tratta della partnership tra le 5 JE più influenti del nord Italia @jecatt_ucsc 
@jetop_to 
@jestjuniorenterprise 
@jeve_cafoscari  Un evento semestrale, 
di cui questa volta siamo stati gli organizzatori",0,"12/13/2025 04:22",https://www.instagram.com/stories/jemp_polimi/3786689003751930068,"Storia di Instagram",,Totale,2251,1386,4,3,,0,631,,,141
18014001722633206,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Benvenuti al",0,"12/13/2025 04:07",https://www.instagram.com/stories/jemp_polimi/3786681612541011145,"Storia di Instagram",,Totale,693,499,6,0,2,0,610,,,
18030292508765630,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","I nostri JEMPers ieri all' evento ALUMNI: tanti spunti, workshop e aperitivo finale!",6,"11/30/2025 01:51",https://www.instagram.com/stories/jemp_polimi/3777191161089896833,"Storia di Instagram",,Totale,1105,810,7,1,9,0,751,,,
18131386120438570,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,0,"11/23/2025 23:33",https://www.instagram.com/stories/jemp_polimi/3772772916421383638,"Storia di Instagram",,Totale,1013,690,3,0,5,1,883,,,11
17970657125974650,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Ringraziamo @thesis_4u per averci invitato a partecipare al loro nuovo format ""The Jury""",0,"11/23/2025 23:32",https://www.instagram.com/stories/jemp_polimi/3772772544000744888,"Storia di Instagram",,Totale,985,738,6,0,2,0,800,,,55
17854347036574264,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Ieri i nostri JEMPers al Sant’Anna Business Game organizzato da JEBE",4,"11/22/2025 08:58",https://www.instagram.com/stories/jemp_polimi/3771607823721569928,"Storia di Instagram",,Totale,748,551,5,0,5,0,488,,,
17859684261516029,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,60,"10/13/2025 05:52",https://www.instagram.com/stories/jemp_polimi/3742493180357151679,"Storia di Instagram",,Totale,478,357,3,0,12,0,414,,1,
18081094313294225,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,50,"10/06/2025 06:59",https://www.instagram.com/stories/jemp_polimi/3737453046528758115,"Storia di Instagram",,Totale,441,330,6,0,5,1,376,,,
18051465917306764,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,5,"10/05/2025 04:04",https://www.instagram.com/stories/jemp_polimi/3736640576021105742,"Storia di Instagram",,Totale,904,661,4,1,9,0,727,,,
17884700232384577,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,4,"10/05/2025 04:04",https://www.instagram.com/stories/jemp_polimi/3736640365576076592,"Storia di Instagram",,Totale,903,719,3,1,1,0,545,,,
17910827724089465,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","@jemib_bicocca @je_italy",7,"10/04/2025 05:55",https://www.instagram.com/stories/jemp_polimi/3735971429511599471,"Storia di Instagram",,Totale,808,599,1,3,3,0,661,,,
18085443424818017,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,4,"10/04/2025 05:42",https://www.instagram.com/stories/jemp_polimi/3735965184889238071,"Storia di Instagram",,Totale,852,647,4,0,9,1,532,,,
18525496270005596,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",". … e i nostri JEMPer hanno vinto il BUSINESS GAME 
proposto durante la giornata",0,"10/03/2025 07:41",https://www.instagram.com/stories/jemp_polimi/3735299906156515503,"Storia di Instagram",,Totale,1505,1008,12,2,9,0,1355,,,
18306127534222900,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",".  Nella giornata di ieri abbiamo partecipato 
all’ACCELERATION PROGRAM 
organizzato da @je_italy & @pwc_italy …",7,"10/03/2025 07:41",https://www.instagram.com/stories/jemp_polimi/3735299855448054599,"Storia di Instagram",,Totale,1529,1093,5,0,2,0,1133,,,33
